Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,Industry_Consumer Goods,Industry_Energy,Industry_Finance,Industry_Healthcare,Industry_Manufacturing,Industry_Retail,Industry_Technology,Industry_Transportation,Industry_Utilities,Region_Africa,Region_Asia,Region_Europe,Region_Latin America,Region_Middle East,Region_North America,Region_Oceania,ESG_Overall
-0.4603621090388171,-0.6108721588712847,-0.35439480374043786,-0.00259479137117866,0.22855232801029643,-0.908094363010551,1.031165094005697,-0.2950053263557666,-0.4177799450366265,-0.27567510086346614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0
-0.4584608106463267,-0.7852398108010253,-0.35343786947426425,-0.1851429280370137,0.16155858982114568,-0.938205630072089,1.09856802095787,-0.2945304681412528,-0.41702187446185596,-0.2755809487872855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.7
-0.44659722958085635,-0.7105108171168507,-0.35518731631139266,1.640338438621337,0.11317422335120371,-0.8865863151094525,1.0708138745657987,-0.2924280869010666,-0.4136658392178678,-0.27516411036557326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.5
-0.4474436980432664,-0.8226043076431127,-0.35618700021832317,-0.6757410453264456,0.2881023175117634,-0.9123959725907708,1.0906382648458497,-0.29307213710014485,-0.41469390753159774,-0.27529180786159196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0
-0.4479515791207125,-0.747875313958938,-0.3477982053282582,-0.6301040111599868,0.3402085583255474,-1.0586506983182404,1.0034109476136255,-0.29330465991318055,-0.4150651326064307,-0.2753379097818767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.6
-0.44625864219589234,-0.6108721588712847,-0.35286239354099835,-0.287826254911546,0.39231479913933087,-1.123174842021536,0.900324118157361,-0.2931827542183247,-0.4148705317797082,-0.2753137370282115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.7
-0.4414793510312077,-0.7105108171168507,-0.3497318044640318,0.19136260383627113,0.4555866629846399,-1.252223129428127,0.9439377767734728,-0.2926310626163131,-0.41398985395760796,-0.27520435403079424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.6
-0.13797482818614398,-1.7193522318532073,-0.3061995164378933,-0.00259479137117866,0.24343982538566317,-0.25855131639737644,0.7536236300849842,-0.24280541715093526,-0.33445204556394403,-0.26532550969167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.9
-0.11121340218225631,-1.4951652508006836,0.09111235632280146,0.24840889654434462,0.24343982538566317,-0.19402717269408093,0.7813777764770556,-0.23843187268272975,-0.32747041366173185,-0.26445836871779305,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.6
-0.06917647607979922,-1.632168405888337,-0.1917422859621586,0.6249144284176296,0.2546054484171882,-0.06497888528748995,0.7813777764770556,-0.23184563052042806,-0.31695664585708927,-0.2631525251870928,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.7
-0.13733672119140414,-1.569894244484858,-0.22053910166278518,-2.2730372411525024,0.2657710714487134,-0.1122965906699067,0.7853426545330656,-0.24303854129251054,-0.3348242305531689,-0.26537172812674104,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.5
-0.11312772316647604,-1.2087041083446812,-0.3468675785333197,0.16854408675304172,0.31787731226249716,-0.09078854276880821,0.6743260689647806,-0.23994492462094563,-0.32988582006659817,-0.2647583617764795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.1
-0.12951014356204327,-1.3955265925551177,-0.2997969356260719,-1.0066095430332715,0.35881793004475593,0.14149837456305547,0.6782909470207912,-0.24319518737708884,-0.3350742446197877,-0.2654027860913763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.3
